rank,track_id,track_name,artist_names,album_name,duration_ms,explicit,popularity
16,53NZHEKV3oJx2PdEpGBhYg,G WAGON,"Cruz Cafuné, La Pantera",Me Muevo Con Dios,157791,True,54
17,5xP4rmVm5frtwOPwbmZNQw,Dios #1,"Cruz Cafuné, Miky Woodz",Me Muevo Con Dios,200125,True,51
18,5fmx6imbt6CkYA7e5Bo2Eu,EAZYBOI - Selecta Motorseries #03,"Selecta, EAZYBOI",EAZYBOI - Selecta Motorseries #03,147692,False,38
19,2ShEngDMH3Y4ZQCnUNxz6F,Aimbot,Hoke,TRES CREUS,103225,True,50
20,2ai6EWfg3ECmz22y3gtJCO,SUERTE,"EAZYBOI, DAYTXNA",ASCARI,166057,False,35
21,3UZQFk3N3ghIAMcHTrJQ9l,Corintios 13:12,"Cruz Cafuné, Westside Gunn",Me Muevo Con Dios,188000,True,48
22,4bAG9Mz1vUZmAHbVFArCru,Fabiola,Cruz Cafuné,Me Muevo Con Dios,238007,False,51
23,7x011H8oZwGYBuXQQfGpu4,Folelé,"Cruz Cafuné, Boj",Me Muevo Con Dios,228000,True,55
24,0Cd68sapNvFQlWK60Gvwkm,5AM FREESTYLE,"EAZYBOI, LaBlackie, DAYTXNA",ASCARI,149760,True,28
25,2TrtWQKmcdoSGjsJDc3N64,Practice,"Cruz Cafuné, Hoke",Me Muevo Con Dios,227708,True,55
26,4StD62eazdR5f0EyriuOeL,LORD,"EAZYBOI, Bigla The Kid",ASCARI,107586,True,29
27,6vsoiuJGSyCPD6lbTVTLCY,BABI BOI,"Cruz Cafuné, Chita",Me Muevo Con Dios,213525,True,52
28,30QvxRsCWIuH6MhAcpxDc6,Infrarrojo / Ultravioleta,Hoke,TRES CREUS,143505,True,56
29,42iXkSBfgzE7YyvKGZ7NzV,goofy ahh luv joint,Cruz Cafuné,Me Muevo Con Dios,179624,True,60
30,51OnmAWlWAy3SCqcbe89Ob,Y Que Si No Hay Amor?,Kidd Keo,2016,192000,True,44
31,5V1YyUMhty1NCO3zVePAtR,Cangrinaje,Cruz Cafuné,Me Muevo Con Dios,211765,True,61
32,0GeNrEzlX8X4TXyKqbdXdn,No tengo miedo,Día Sexto,"Recopilación, Vol. I",444499,False,21
33,0a59Dkdm9m2Iezd9wzC7fJ,"Tiempos de cambio, Pt. V","Día Sexto, Alejandra Saiz","Recopilación, Vol. II",1771984,False,16
34,5LWQbaYKCjfP0qenISrCba,MOTION,"EAZYBOI, Bigla The Kid",ASCARI,213348,False,29
35,5eY6u8ztWSB1URBBnfJIy7,INTRO ASCARI,"EAZYBOI, Bigla The Kid",ASCARI,113150,False,27
36,5n6wEaJ5UAwvOOO7qhxWa3,ONE MORE REP,EAZYBOI,ASCARI,142978,True,26
37,2LTg447RMDqOyWlu94wwZ4,Dálmatas,Hoke,TRES CREUS,131134,True,49
38,5IcTz6BWLZ8LlH6VK2zunF,PESADILLAS,"EAZYBOI, Bigla The Kid",ASCARI,179012,False,27
39,6m8DnCqkHlUfcjXcjOmOu2,4 PREZ,Cruz Cafuné,Me Muevo Con Dios,149484,True,55
40,7KNEP7euyD3BkZm1vr09DS,PROTEIN SHAKE,"EAZYBOI, La Zowi, Bigla The Kid",ASCARI,176853,True,33
41,12Q6wX7zerBTPcVeMXtwMP,YA NO,"EAZYBOI, La Pantera, Bigla The Kid",ASCARI,166320,True,44
42,3vMviI1hKkWDEnGSGo2zYK,G CLASS,"EAZYBOI, Bigla The Kid",ASCARI,124725,False,34
43,43ewGV0oj5m9zG0DDkokXD,ME VENDISTE,"EAZYBOI, Natos y Waor, Bigla The Kid",ASCARI,220379,True,35
44,586b933KakijFugWXuLYpi,BRUCE WAYNE,"EAZYBOI, Bigla The Kid",ASCARI,109518,True,33
45,5gz1n3r0hxiuASfJyFYgI4,GG EZ (BONUS),"EAZYBOI, Bigla The Kid",ASCARI,164392,False,24
46,6hoL4fXgmGwSsCRRbk77Cn,Masa Madre,Hoke,TRES CREUS,126315,True,51
47,04UsuCGu6llkgOldCUCgZo,TURBO // Epifanía,Cruz Cafuné,Me Muevo Con Dios,164374,True,51
48,17NW5LLmN6PXrUdknZ6iT1,Miss U,Kidd Keo,Keoland,259200,True,54
49,2zszFR3VtHLhYRR0BJNxhV,1€ cada vez,Cruz Cafuné,Me Muevo Con Dios,258875,True,46
50,4x4zGJYBa39QEkc1KTgqtc,ABC,"Hoke, Quevedo",TRES CREUS,181739,True,55
